"DESCARGA GENERAL DE LOS PRODUCTOS ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CODIGO DE BARRAS","CODIGO INTERNO","REFERENCIA DEL ARTICULO","DESCRIPCIÓN DEL ARTICULO","F/V","CAN UNID","CAN FRAC","V COSTO","V VENTA","T COSTO","T VENTA","UTILIDAD","IVA","ESTADO","USUARIO","PRECIO DE VENTA UNO","PRECIO DE VENTA DOS","PRECIO DE VENTA TRES","PRECIO DE VENTA AL DETAL UNO","PRECIO DE VENTA AL DETAL DOS","PRECIO DE VENTA AL DETAL TRES","REGISTRO INVIMA","TEMPERATURA","UBICACION","CATEGORIA","LABORATORIO","CANTIDAD POR DEFECTO","OBSERVACIONES"
"353","353",""," GALLETAS OREO PEQUEÑAS","1","0","0","916.00","1,500.00","0.00","0.00","0.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7707313840394","253"," UÑAS DE HIERRO AROBEL"," UÑAS DE HIERRO AROBEL","1","12","0","6,500.00","8,500.00","78,000.00","102,000.00","24,000.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","8,500.00","","","SIN UBI.","ESMALTES","SIN LAB.","CANTIDAD POR DEFECTO",""
"7707223660020","50","5 MINUTOS COLOR -1 NEGRO","5 MINUTOS COLOR-1 NEGRO SACHET","1","10","0","4,000.00","6,000.00","40,000.00","60,000.00","20,000.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","","","SIN UBI.","MATIZANTES","SIN LAB.","CANTIDAD POR DEFECTO",""
"7707223663342","441","5 MINUTOS COLO -1 CASTAÑO","5MINUTOS COLOR -1  CASTAÑO","1","1","0","4,000.00","6,000.00","4,000.00","6,000.00","2,000.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","6,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7908240887302","397","","7908240887302ESTUCHE PARA POLVO FACES ","1","1","0","33,675.00","44,900.00","33,675.00","44,900.00","11,225.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","44,900.00","44,900.00","44,900.00","44,900.00","44,900.00","44,900.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7707313840349","193","","ABLANDADOR DE CUTICULA AROBEL ","1","2","0","8,500.00","12,000.00","17,000.00","24,000.00","7,000.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","12,000.00","12,000.00","12,000.00","12,000.00","12,000.00","12,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7908371607282","505","ACEITE TRIFASICO PARA EL CUERPO","ACEITE TRIFASICO PARA EL CUERPO","1","1","0","50,000.00","50,000.00","50,000.00","50,000.00","0.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7909883161194","776","","ACONDI TODODIA  REPUESTO  DURAZNO Y ALOMENDRA","1","0","0","10,152.00","18,000.00","0.00","0.00","0.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","18,000.00","18,000.00","18,000.00","18,000.00","18,000.00","18,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7909883161200","481","ACONDICIONADOR TODODIA CEREZA Y AGUACATE","ACONDICIONADOR   CEREZA Y AGUACATE POTE","1","2","0","15,844.00","29,000.00","31,688.00","58,000.00","26,312.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","29,000.00","29,000.00","29,000.00","29,000.00","29,000.00","29,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
"7908132266123","661","","ACONDICIONADOR  CABELLO RIZADO POTE","1","1","0","1.00","32,000.00","1.00","32,000.00","31,999.00","0","ACTIVO","RUTH STELLA  USECHE SUAREZ","32,000.00","32,000.00","32,000.00","32,000.00","32,000.00","32,000.00","","","SIN UBI.","SIN CAT.","SIN LAB.","CANTIDAD POR DEFECTO",""
